"","x"
"1",6248.24426486636
"2",2154.13410023095
"3",14551.2909958342
"4",2231.19315943385
"5",2143.44160551385
"6",6269.8010597927
"7",6101.34037901803
"8",1903.26811289483
"9",2277.87091419222
"10",14357.7093552275
"11",10444.6203512828
"12",2310.0343010896
"13",5993.81411262455
"14",5918.5371358745
"15",5965.12898788681
"16",5809.22878702816
"17",6079.86948683776
"18",6002.7245248888
"19",6097.77621411233
"20",2229.411076981
"21",6257.24057987668
"22",9871.08966202013
"23",10200.796791012
"24",5961.5648229811
"25",10521.6794104857
"26",10243.8244781186
"27",9890.77847174755
"28",14312.9854884141
"29",6189.1778356841
"30",2202.50803469611
"31",2057.38623130063
"32",6235.68378495035
"33",6500.9782374014
"34",2281.34917635186
"35",14275.3040486661
"36",5986.59988006708
"37",10387.2501018073
"38",6151.49639593604
"39",2016.14062664687
"40",2051.95408119601
"41",18061.1779764899
"42",2306.4701361839
"43",2310.0343010896
"44",10107.6989897334
"45",6158.62472574745
"46",5854.03855658762
"47",2044.82575138461
"48",5916.75505342165
"49",1987.45550190913
"50",2645.08767744002
"51",2091.41760339692
"52",2100.32801566117
"53",6078.00150163885
"54",6232.11962004464
"55",14578.1940381191
"56",2396.08967530282
"57",6156.92854604066
"58",10358.6508798156
"59",1890.70763297881
"60",2238.40739199132
"61",6332.60345937279
"62",9960.70920113905
"63",10148.8586916411
"64",2499.87997129847
"65",1858.45834333537
"66",1951.64204735999
"67",10243.8244781186
"68",10338.7902645961
"69",6341.51387163705
"70",1987.45550190913
"71",2439.11736240942
"72",10087.92427726
"73",10855.0366071293
"74",5889.85201113676
"75",1797.5239289542
"76",5993.81411262455
"77",1874.58298815709
"78",2012.57646174117
"79",2141.659523061
"80",6298.40028178437
"81",2413.99640257739
"82",6214.21289277007
"83",6122.8112711983
"84",2100.41391840724
"85",6183.74568557948
"86",10127.3018967148
"87",10720.6072984509
"88",2281.43507909792
"89",10191.8863787477
"90",18848.0650188327
"91",2147.00577041955
"92",6257.24057987668
"93",6210.64872786437
"94",6269.8010597927
"95",1967.76669218171
"96",18503.9294247259
"97",2118.32064568181
"98",10068.2354675325
"99",14341.5847104058
"100",2041.26158647891
"101",5990.24994771884
"102",6126.46133885007
"103",2087.85343849122
"104",1858.45834333537
"105",5870.16320140934
"106",2089.63552094407
"107",6429.26542555705
"108",2293.90965626788
"109",10252.906695875
"110",18028.8427841004
"111",2229.411076981
"112",10200.796791012
"113",2460.50235184363
"114",2055.60414884778
"115",6135.37175111432
"116",2195.37970488471
"117",1876.36507060995
"118",6027.84548472084
"119",10432.1457741128
"120",2078.8571234809
"121",6241.11593505496
"122",2037.69742157321
"123",6167.70694350383
"124",6070.78726908138
"125",6124.59335365116
"126",6361.28858411053
"127",2191.72963723294
"128",14621.2217252257
"129",10080.7959474486
"130",2051.95408119601
"131",6382.67357354474
"132",6183.65978283342
"133",6142.58598367179
"134",6470.51103021081
"135",2539.42939624544
"136",6088.77989910202
"137",1887.14346807311
"138",6138.93591602003
"139",18222.4244247071
"140",6495.54608729678
"141",10055.6749876165
"142",6088.77989910202
"143",6242.98392025388
"144",6160.49271094636
"145",6052.96644455287
"146",2401.43592266137
"147",2457.02408968399
"148",10052.1108227108
"149",10000.17272334
"150",1797.5239289542
"151",6323.52124161641
"152",6049.31637690111
"153",6112.03287373514
"154",10614.9490172564
"155",14110.4075327971
"156",17910.6240229898
"157",6011.72083989912
"158",5900.63040859993
"159",5827.13551430273
"160",10541.4541229592
"161",5970.47523524536
"162",2473.14873450571
"163",9894.42853939932
"164",1955.20621226569
"165",6271.58314224555
"166",1858.45834333537
"167",5929.31553333767
"168",10430.1918861678
"169",10016.2114654156
"170",6094.21204920663
"171",2164.91249769412
"172",2168.47666259982
"173",10053.8929051637
"174",6450.90812322945
"175",2102.19600086009
"176",1987.45550190913
"177",6138.93591602003
"178",10048.5466578051
"179",2172.12673025159
"180",6047.53429444826
"181",11016.4548608386
"182",2317.24853364707
"183",6233.9017024975
"184",2073.51087612235
"185",2086.07135603837
"186",2025.13694165719
"187",5904.19457350563
"188",14300.4250084981
"189",6366.63483146908
"190",2116.53856322896
"191",6631.75747842801
"192",6160.49271094636
"193",6287.79368981334
"194",1964.20252727601
"195",6533.14162429877
"196",2007.23021438262
"197",2510.83017425377
