"","firstName","gender","numberChildren.x","numberChildren.y"
"1","Aaban","M",9,15
"2","Aabha","F",7,7
"3","Aabriella","F",11,5
"4","Aadam","M",18,22
"5","Aadarsh","M",11,15
"6","Aaden","M",194,297
"7","Aadhav","M",28,31
"8","Aadhavan","M",6,5
"9","Aadhi","M",5,11
"10","Aadhira","F",14,8
"11","Aadhvik","M",19,9
"12","Aadhya","F",284,265
"13","Aadi","M",55,43
"14","Aadil","M",15,14
"15","Aadit","M",23,23
"16","Aadith","M",11,11
"17","Aadithya","M",5,6
"18","Aaditya","M",34,33
"19","Aadon","M",9,8
"20","Aadvik","M",83,28
"21","Aadvika","F",13,7
"22","Aadya","F",159,159
"23","Aadyn","M",51,29
"24","Aagam","M",7,5
"25","Aahaan","M",5,10
"26","Aahan","M",36,26
"27","Aahana","F",51,31
"28","Aahil","M",81,78
"29","Aaiden","M",71,89
"30","Aaidyn","M",5,11
"31","Aaila","F",11,7
"32","Aailyah","F",6,6
"33","Aaima","F",21,12
"34","Aaira","F",31,24
"35","Aairah","F",28,19
"36","Aaisha","F",7,11
"37","Aakash","M",21,17
"38","Aakriti","F",5,8
"39","Aala","F",9,6
"40","Aalaiyah","F",10,11
"41","Aalani","F",16,17
"42","Aalaya","F",7,9
"43","Aalayah","F",66,70
"44","Aalayiah","F",5,8
"45","Aalaysia","F",9,9
"46","Aaleah","F",16,11
"47","Aaleeyah","F",9,11
"48","Aaleigha","F",7,9
"49","Aaleyah","F",104,153
"50","Aalia","F",46,33
"51","Aaliah","F",32,46
"52","Aaliana","F",5,6
"53","Aalijah","F",8,12
"54","Aalijah","M",11,17
"55","Aalina","F",6,9
"56","Aaliya","F",57,64
"57","Aaliyah","F",4611,4850
"58","Aaliyahrose","F",5,5
"59","Aaliyana","F",8,6
"60","Aaliyiah","F",5,5
"61","Aalyah","F",14,23
"62","Aalyiah","F",23,23
"63","Aamanee","F",5,5
"64","Aamani","F",23,7
"65","Aamari","F",5,9
"66","Aamari","M",14,7
"67","Aamilah","F",15,12
"68","Aamina","F",24,24
"69","Aaminah","F",27,42
"70","Aamir","M",132,143
"71","Aamira","F",25,37
"72","Aamirah","F",10,15
"73","Aamiya","F",8,5
"74","Aamiyah","F",30,25
"75","Aamna","F",11,6
"76","Aamori","F",6,7
"77","Aanaya","F",14,8
"78","Aania","F",6,5
"79","Aanika","F",20,24
"80","Aaniya","F",27,17
"81","Aaniyah","F",48,54
"82","Aanshi","F",13,12
"83","Aanvi","F",41,47
"84","Aanya","F",214,240
"85","Aaqil","M",7,7
"86","Aara","F",13,15
"87","Aaradhana","F",13,8
"88","Aaradhya","F",102,81
"89","Aaralyn","F",73,72
"90","Aaralynn","F",13,22
"91","Aaran","M",9,17
"92","Aarav","M",519,539
"93","Aaravi","F",5,7
"94","Aaren","M",31,22
"95","Aaria","F",62,36
"96","Aariah","F",32,26
"97","Aarian","F",5,8
"98","Aarian","M",17,13
"99","Aariana","F",16,27
"100","Aarianna","F",18,10
"101","Aarib","M",12,10
"102","Aaric","M",35,28
"103","Aariel","F",11,11
"104","Aarielle","F",7,11
"105","Aarik","M",14,6
"106","Aarika","F",9,23
"107","Aarilyn","F",9,14
"108","Aarilynn","F",5,5
"109","Aarin","M",31,27
